Longitude,Latitude
9.063252,48.958953
9.063252,48.958915
9.063214,48.958911
9.063134,48.958894
9.063026,48.958890
9.062957,48.958883
9.062823,48.958883
9.062758,48.958858
9.062656,48.958862
9.062538,48.958876
9.062452,48.958894
9.062367,48.958918
9.062281,48.958946
9.062179,48.958968
9.062029,48.958989
9.061878,48.959010
9.061739,48.959020
9.061573,48.959038
9.061433,48.959056
9.061288,48.959077
9.061127,48.959091
9.060988,48.959108
9.060854,48.959130
9.060736,48.959137
9.060666,48.959151
9.060564,48.959165
9.060457,48.959172
9.060382,48.959179
9.060269,48.959186
9.060130,48.959221
9.060006,48.959228
9.059894,48.959249
9.059776,48.959267
9.059641,48.959281
9.059502,48.959306
9.059384,48.959323
9.059218,48.959351
9.059067,48.959366
9.058923,48.959394
9.058810,48.959411
9.058676,48.959422
9.058552,48.959425
9.058402,48.959432
9.058274,48.959429
9.058161,48.959425
9.058027,48.959418
9.057855,48.959408
9.057716,48.959408
9.057592,48.959401
9.057506,48.959387
9.057415,48.959387
9.057249,48.959373
9.057115,48.959355
9.057029,48.959337
9.056916,48.959316
9.056868,48.959295
9.056825,48.959255
9.056755,48.959202
9.056696,48.959149
9.056648,48.959096
9.056600,48.959040
9.056557,48.958990
9.056514,48.958934
9.056412,48.958973
9.056289,48.959012
9.056155,48.959043
9.056037,48.959068
9.055924,48.959089
9.055811,48.959110
9.055699,48.959124
9.055581,48.959152
9.055468,48.959166
9.055361,48.959184
9.055291,48.959198
9.055184,48.959221
9.055071,48.959228
9.054953,48.959253
9.054851,48.959267
9.054765,48.959302
9.054647,48.959320
9.054524,48.959351
9.054454,48.959394
9.054358,48.959432
9.054277,48.959475
9.054229,48.959517
9.054154,48.959559
9.054089,48.959598
9.054052,48.959651
9.053993,48.959686
9.053928,48.959756
9.053880,48.959813
9.053848,48.959876
9.053810,48.959936
9.053773,48.959985
9.053757,48.960049
9.053735,48.960119
9.053725,48.960176
9.053703,48.960232
9.053687,48.960306
9.053687,48.960387
9.053698,48.960461
9.053703,48.960524
9.053725,48.960584
9.053751,48.960651
9.053805,48.960722
9.053864,48.960788
9.053939,48.960862
9.054003,48.960943
9.054068,48.961003
9.054127,48.961053
9.054234,48.961120
9.054331,48.961172
9.054427,48.961208
9.054502,48.961243
9.054561,48.961218
9.054615,48.961215
9.054776,48.961211
9.054862,48.961211
9.054937,48.961211
9.055033,48.961204
9.055092,48.961211
9.055189,48.961204
9.055264,48.961194
9.055361,48.961197
9.055447,48.961204
9.055538,48.961204
9.055618,48.961222
9.055677,48.961239
9.055774,48.961271
9.055854,48.961299
9.055881,48.961317
9.055972,48.961370
9.056037,48.961412
9.056106,48.961447
9.056219,48.961514
9.056305,48.961570
9.056407,48.961613
9.056493,48.961665
9.056605,48.961715
9.056718,48.961771
9.056820,48.961824
9.056911,48.961866
9.056986,48.961912
9.057072,48.961961
9.057185,48.961997
